,Legislator name,Legislative Effectiveness Score,Gender Estimates,Predicted Gender,Ethnicity Estimates,Predicted Ethnicity, bc, ec, cc, dc
70,Roy Blunt,0.7232909798622131,"{'male': 0.17961382242396898, 'female': 0.0007072476383551373}",male,"{'black': 2.083695920624663e-05, 'hispanic': 0.02236550494461749, 'white': 0.9526651032748263, 'asian': 0.02494855482135013}",white,,,,
71,Ted Cruz,0.633554995059967,"{'male': 0.00037825100858706457, 'female': 8.952492036753142e-05}",male,"{'black': 1.0469758613806741e-05, 'hispanic': 0.9815096466868319, 'white': 0.01141141776823778, 'asian': 0.007068465786316645}",hispanic,,,,
72,Mike Lee,0.7529000043869019,"{'male': 0.00678815126142045, 'female': 0.022718902592948034}",female,"{'black': 1.2720392428405652e-05, 'hispanic': 0.0012173901263133992, 'white': 0.9770305877913301, 'asian': 0.021739301689928357}",white,0.0036152073117527066,1.3472949170216784e-07,0.5486988847583643,0.8975609756097561
73,Cory Gardner,1.839766025543213,"{'male': 0.0007609855960934634, 'female': 2.6999710915896976e-05}",male,"{'black': 3.640311836989719e-05, 'hispanic': 0.0006566911716607222, 'white': 0.9977895177104972, 'asian': 0.0015173879994719688}",white,0.0024271556584178977,0.030221160670605113,0.6103284780658665,0.4585365853658537
74,Ron Wyden,0.9270560145378112,"{'male': 0.0016394675035734387, 'female': 7.632915532751354e-05}",male,"{'black': 1.6182288448417016e-05, 'hispanic': 0.002295350594829025, 'white': 0.9936502808964585, 'asian': 0.004038186220264125}",white,,,,
75,Lisa Murkowskiman,2.5613160133361816,"{'male': 0.00042639890797103937, 'female': 0.00011044794014210316}",male,"{'black': 1.1046721093004343e-05, 'hispanic': 0.0010664830055247133, 'white': 0.9984704241845731, 'asian': 0.0004520460888090225}",white,,,,
76,Lamar Alexander,0.3107529878616333,"{'male': 0.9798080721554143, 'female': 1.377023437404982e-05}",male,"{'black': 0.0010562856161527526, 'hispanic': 0.002208094802167643, 'white': 0.9726522793866622, 'asian': 0.02408334019501772}",white,0.0024330900243309,5.7379403445090654e-08,0.42509568480300186,0.40487804878048783
77,Kamala D. Harris,0.5119389891624451,"{'male': 0.0008338321055951401, 'female': 4.4826319750812674e-05}",male,"{'black': 1.4532770520303436e-05, 'hispanic': 0.007555276163953461, 'white': 0.002459948100546664, 'asian': 0.9899702429649799}",asian,,,,
78,Rob Portman,1.647953987121582,"{'male': 0.009654372620172613, 'female': 8.104821974339537e-05}",male,"{'black': 4.648920640908195e-05, 'hispanic': 0.014803372481417592, 'white': 0.9624207616079123, 'asian': 0.022729376704261124}",white,,,,
79,Dianne Feinstein,1.1146390438079834,"{'male': 0.00032167650468754535, 'female': 7.17438732916032e-05}",male,"{'black': 1.75693500889604e-05, 'hispanic': 0.0011958108015765058, 'white': 0.9982834330344995, 'asian': 0.0005031868138351036}",white,0.0029233332215425497,2.567989306254148e-16,0.12926829268292683,0.9243902439024391
80,Christopher S. Murphy,0.2591829895973205,"{'male': 0.00019085192460497, 'female': 0.00013732515093458402}",male,"{'black': 2.0927333174129983e-05, 'hispanic': 0.0005297238695175102, 'white': 0.9988763973001035, 'asian': 0.0005729514972045027}",white,,,,
81,Jeff Merkley,2.418256998062134,"{'male': 0.003184023621566657, 'female': 0.00018558091704014038}",male,"{'black': 0.0005363740452412687, 'hispanic': 0.006610374979915139, 'white': 0.9904325029998264, 'asian': 0.0024207479750174158}",white,0.002940467064546543,3.823205689658806e-12,0.3205030487804878,0.8341463414634146
82,Richard Shelbyman,0.0956780016422271,"{'male': 0.005390844235430039, 'female': 6.36372148218439e-05}",male,"{'black': 1.636158594745585e-05, 'hispanic': 0.0010867752482907752, 'white': 0.9975100024668893, 'asian': 0.0013868606988722304}",white,,,,
83,Lindsey Graham,1.9787240028381348,"{'male': 0.0017382701460341276, 'female': 7.33728237273407e-05}",male,"{'black': 2.5172038082097275e-05, 'hispanic': 0.0003484852393062305, 'white': 0.99897029878006, 'asian': 0.0006560439425518634}",white,0.0024271556584178977,0.033623763302938904,0.6124893399283644,0.4585365853658537
84,Susan Collins,1.3333159685134888,"{'male': 0.0007789397695800563, 'female': 0.00012393448312379986}",male,"{'black': 3.092481022567886e-05, 'hispanic': 0.0006969182434581264, 'white': 0.9976485117078765, 'asian': 0.0016236452384397573}",white,0.0033084295633416224,1.811727804462519e-12,0.3225609756097561,0.9853658536585366
85,Johnny Isakson,0.3915599882602691,"{'male': 0.971757067716631, 'female': 7.058637027070661e-05}",male,"{'black': 4.063304393563786e-05, 'hispanic': 0.05460763302442341, 'white': 0.9064894177967233, 'asian': 0.03886231613491752}",white,,,,
86,Lamar Alexanderman,0.3107529878616333,"{'male': 0.5713465578179194, 'female': 0.00010602085644662605}",male,"{'black': 0.004724189475565161, 'hispanic': 0.01308312579491595, 'white': 0.751567785549056, 'asian': 0.2306248991804629}",white,,,,
87,Sheldon Whitehouse,0.6481670141220093,"{'male': 0.00022710272960203433, 'female': 5.941636884318685e-05}",male,"{'black': 1.3601661379291022e-05, 'hispanic': 0.0006861213458155855, 'white': 0.9988522737517067, 'asian': 0.00044800324109887756}",white,0.0030884115691954214,8.068008005095511e-12,0.34571300314230136,0.8146341463414634
88,John Barrassoman,1.468714952468872,"{'male': 0.14345430402983195, 'female': 9.76268886478822e-05}",male,"{'black': 0.00019894251590792716, 'hispanic': 0.001610768589168051, 'white': 0.997715854812762, 'asian': 0.0004744340821624352}",white,,,,
89,John Cornyn,2.79012393951416,"{'male': 0.9965090134112773, 'female': 2.2413507732383373e-05}",male,"{'black': 0.9976495889605104, 'hispanic': 3.976128002204133e-05, 'white': 0.002265298014418224, 'asian': 4.535174504879303e-05}",black,0.0029764461364322156,2.0504129845018085e-16,0.12439024390243902,0.9853658536585366
90,Mike Crapo,0.265078991651535,"{'male': 0.006191050004698535, 'female': 0.00023049337720482918}",male,"{'black': 9.943206807290539e-06, 'hispanic': 0.00973406360804256, 'white': 0.9898352953928101, 'asian': 0.0004206977923398853}",white,0.002604326565668031,2.015593742860552e-12,0.29452743902439027,0.7
91,Chuck Grassleyman,2.2142789363861084,"{'male': 0.00038618596553284486, 'female': 3.97689118008932e-05}",male,"{'black': 0.003048254057569331, 'hispanic': 0.0026418585676716475, 'white': 0.9896629353391995, 'asian': 0.004646952035559692}",white,,,,
92,Lindsey Grahamman,1.9787240028381348,"{'male': 0.00029024782371325195, 'female': 4.9485691676923065e-05}",male,"{'black': 2.2568705564937867e-05, 'hispanic': 0.0003418294082224497, 'white': 0.9989797676200336, 'asian': 0.0006558342661790573}",white,,,,
93,Eliot Engel,3.336190700531006,"{'male': 0.0002602322386084222, 'female': 0.00014313851914158143}",male,"{'black': 1.031237780834945e-05, 'hispanic': 0.0012755162330351385, 'white': 0.997367673039068, 'asian': 0.0013464983500882976}",white,0.0028360808478439144,7.145043008375762e-15,0.1960763520678685,0.9780487804878049
94,Ilhan Omar,0.3280244767665863,"{'male': 0.9804666761187242, 'female': 2.062925989158842e-05}",male,"{'black': 6.352426669096029e-05, 'hispanic': 0.0006559860330540044, 'white': 0.005777502611306854, 'asian': 0.9935029870889482}",asian,0.0025239316405880623,1.2573226358722502e-13,0.22899928263988525,0.5756097560975609
