,Legislator name,Connections,Legislator name,Legislative Effectiveness Score,party
257,Cathy McMorris Rodgers,54,Cathy McMorris Rodgers,1.481447458267212,R
258,David McKinley,54,David McKinley,0.978335440158844,R
259,Markwayne Mullin,54,Markwayne Mullin,0.1708884835243225,R
260,Steve Scalise,54,Steve Scalise,0.06958094984292984,R
261,John Shimkus,54,John Shimkus,0.019880272448062897,R
262,Fred Upton,54,Fred Upton,0.3329463005065918,R
263,Billy Long,54,Billy Long,0.3385578691959381,R
264,Gus M. Bilirakis,81,Gus Bilirakis,1.7130862474441528,R
265,Susan Brooks,54,Susan Brooks,0.05964081361889839,R
266,Larry Bucshon,54,Larry Bucshon,0.9918940663337708,R
267,Michael C. Burgess,66,Michael Burgess,1.0068398714065552,R
268,Jeff Duncan,54,Jeff Duncan,0.14512598514556885,R
269,Bill Flores,85,Bill Flores,0.3863523602485657,R
270,Greg Gianforte,54,Greg Gianforte,1.1362662315368652,R
271,H. Morgan Griffith,54,H. Morgan Griffith,0.5294084548950195,R
272,Richard Hudson,54,Richard Hudson,0.14114992320537567,R
273,Bill Johnson,85,Bill Johnson,0.09144924581050873,R
274,Maxine Waters,60,Maxine Waters,2.8365111351013184,D
275,Carolyn B. Maloney,119,Carolyn Maloney,5.029590606689453,D
276,Ben McAdams,97,Ben McAdams,1.7404842376708984,D
277,Alexandria Ocasio-Cortez,100,Alexandria Ocasio-Cortez,0.20874285697937012,D
278,Ed Perlmutter,109,Ed Perlmutter,0.8610418438911438,D
279,Katie Porter,60,Katie Porter,1.0244126319885254,D
280,Ayanna Pressley,100,Ayanna Pressley,0.6695979833602905,D
281,David Scott,106,David Scott,0.7069361805915833,D
282,Rashida Tlaib,100,Rashida Tlaib,1.4105134010314941,D
283,Jennifer Wexton,97,Jennifer Wexton,2.1147994995117188,D
284,Stephen Lynch,165,Stephen Lynch,1.0410737991333008,D
285,Cindy Axne,106,Cindy Axne,1.3378957509994507,D
286,Jesus Garcia,125,Jesus Garcia,0.5572408437728882,D
287,Joyce Beatty,79,Joyce Beatty,1.2930370569229126,D
288,Sean Casten,97,Sean Casten,0.8515360951423645,D
289,Emanuel Cleaver,90,Emanuel Cleaver,1.721877098083496,D
290,Bill Foster,97,Bill Foster,0.6958767175674438,D
291,Tulsi Gabbard,116,Tulsi Gabbard,0.5616512894630432,D
292,Josh Gottheimer,60,Josh Gottheimer,0.8726993799209595,D
293,Al Green,90,Al Green,1.3915598392486572,D
294,Denny Heck,100,Denny Heck,1.3417080640792847,D
295,Patrick T. McHenry,60,Patrick McHenry,0.6255089044570923,R
296,John Rose,60,John Rose,0.029820406809449196,R
297,Bill Posey,97,Bill Posey,0.6386681199073792,R
298,Blaine Luetkemeyer,60,Blaine Luetkemeyer,0.22862312197685242,R
299,Bryan Steil,60,Bryan Steil,0.2988791763782501,R
300,Steve Stivers,60,Steve Stivers,0.31677141785621643,R
301,Scott Tipton,60,Scott Tipton,1.7485308647155762,R
302,Roger Williams,60,Roger Williams,0.3267115652561188,R
303,Frank Lucas,97,Frank Lucas,0.5105558037757874,R
304,Andy Barr,87,Andy Barr,2.2088539600372314,R
305,Ted Budd,60,Ted Budd,0.5275022983551025,R
306,Warren Davidson,60,Warren Davidson,0.10934149473905563,R
307,Sean Duffy,60,Sean Duffy,0.24157890677452087,R
308,Tom Emmer,60,Tom Emmer,0.28022998571395874,R
309,Anthony Gonzalez,97,Anthony Gonzalez,1.6093690395355225,R
310,Lance Gooden,60,Lance Gooden,0.06958094984292984,R
311,French Hill,60,French Hill,1.4772007465362549,R
312,Trey Hollingsworth,60,Trey Hollingsworth,0.07952108979225159,R
313,Bill Huizenga,60,Bill Huizenga,0.3068313002586365,R
314,Peter King,90,Peter King,1.4040781259536743,R
315,David Kustoff,60,David Kustoff,0.29319846630096436,R
316,William Timmons,60,William Timmons,0.2273101955652237,R
317,Nita Lowey,52,Nita Lowey,10.302238464355469,D
318,Grace Meng,61,Grace Meng,1.0449007749557495,D
319,Chellie Pingree,98,Chellie Pingree,0.7839431762695312,D
320,Mark Pocan,52,Mark Pocan,0.7891302704811096,D
321,David Price,83,David Price,0.4879726469516754,D
322,Mike Quigley,73,Mike Quigley,2.053528308868408,D
323,Dutch Ruppersberger,52,Dutch Ruppersberger,0.5204959511756897,D
324,Lucille Roybal-Allard,52,Lucille Roybal-Allard,1.1562577486038208,D
325,Tim Ryan,61,Tim Ryan,0.8535080552101135,D
326,José Serrano,52,Jose Serrano,1.935861349105835,D
327,Norma Torres,64,Norma Torres,0.783873975276947,D
328,Peter Visclosky,52,Peter Visclosky,0.5253108143806458,D
329,Debbie Wasserman Schultz,92,Debbie Wasserman Schultz,0.9178979396820068,D
330,Bonnie Watson Coleman,82,Bonnie Watson Coleman,0.7169581651687622,D
331,Betty McCollum,52,Betty McCollum,1.4245418310165405,D
332,Brenda Lawrence,92,Brenda Lawrence,0.2454857975244522,D
333,Barbara Lee,83,Barbara Lee,1.0366603136062622,D
334,Rosa L. DeLauro,83,Rosa DeLauro,2.2949182987213135,D
335,Cheri Bustos,98,Cheri Bustos,0.9142681956291199,D
336,Matt Cartwright,52,Matt Cartwright,1.7309863567352295,D
337,Katherine Clark,52,Katherine Clark,0.15904217958450317,D
338,Charlie Crist,89,Charlie Crist,1.2312413454055786,D
339,Henry Cuellar,52,Henry Cuellar,1.2490119934082031,D
340,Lois Frankel,71,Lois Frankel,0.3981986939907074,D
341,Marcy Kaptur,52,Marcy Kaptur,0.5755645036697388,D
342,Derek Kilmer,52,Derek Kilmer,1.1920127868652344,D
343,Ann Kirkpatrick,98,Ann Kirkpatrick,0.05964081361889839,D
344,Tom Cole,64,Tom Cole,0.34849801659584045,R
345,Kay Granger,52,Kay Granger,0.0,R
346,Robert Aderholt,52,Robert Aderholt,0.019880272448062897,R
347,John Moolenaar,52,John Moolenaar,0.04970067739486694,R
348,Dan Newhouse,52,Dan Newhouse,0.24196013808250427,R
349,Steven Palazzo,52,Steven Palazzo,0.029820406809449196,R
350,John Rutherford,52,John Rutherford,0.06162884086370468,R
351,Michael K. Simpson,52,Michael Simpson,0.05964081361889839,R
352,Chris Stewart,104,Chris Stewart,0.7620748281478882,R
353,Steve Womack,83,Steve Womack,0.009940136224031448,R
354,Mark Amodei,52,Mark Amodei,0.36837828159332275,R
355,Ken Calvert,52,Ken Calvert,0.2932676076889038,R
356,John Carter,52,John Carter,0.07952108979225159,R
357,Mario Diaz-Balart,52,Mario Diaz-Balart,0.06958094984292984,R
358,Charles J. Fleischmann,52,Charles Fleischmann,0.23725034296512604,R
359,Jeffrey Fortenberry,52,Jeff Fortenberry,0.6000170707702637,R
360,Jaime Herrera Beutler,71,Jaime Herrera Beutler,0.08946122229099274,R
361,David Joyce,52,David Joyce,1.352238416671753,R
362,Tom Graves,52,Sam Graves,0.6373552083969116,R
363,Tom Graves,52,Tom Graves,0.009940136224031448,R
364,Elissa Slotkin,86,Elissa Slotkin,1.2889918088912964,D
365,Ro Khanna,127,Ro Khanna,2.606457471847534,D
366,Andrew Kim,79,Andrew Kim,1.8459186553955078,D
